,Ticker,SimFinId,IndustryId,Fiscal Year,EPS,PE,EPS Growth Rate,PEG,Market Cap,Price to Book,Debt to Equity,Change in Working Capital,"Selling, General & Administrative",Research & Development,Adj. Close
2272,BLUE,787981.0,106002.0,2014.0,-1.8348903789648159,-49.9866373770761,0.0901998851584351,-554.176286247761,2434799120.0,4.956263462912488,0.1332947927459558,-14734000.0,-23227000.0,-62574000.0,91.72
2273,BLUE,787981.0,106002.0,2015.0,-4.810724278173584,-13.34934123981461,-1.6218047319467852,8.231164317661289,2226443180.0,2.617817344232072,0.1785322917450523,15958000.0,-46209000.0,-134038000.0,64.22
2274,BLUE,787981.0,106002.0,2018.0,-10.67852475399754,-9.289672710911137,-1.2197332743525462,7.6161509292613525,5161574400.0,2.738134074596699,0.189793482470147,19240000.0,-174129000.0,-448589000.0,99.2
2275,BLUE,787981.0,106002.0,2019.0,-14.306825388197352,-6.133436148063343,-0.33977545754543914,18.051439595936973,4843010250.0,3.768900102957759,0.34430615575337764,46117000.0,-271362000.0,-582413000.0,87.75
2276,BMI,252337.0,101001.0,2010.0,0.9550179928028788,20.17763031191124,,,578331240.0,3.434617746447088,0.2819821478415279,-18897000.0,-58001000.0,,19.27
2277,BMI,252337.0,101001.0,2012.0,0.973400930620182,21.984774543378993,0.019248786887617834,1142.1381862522016,616277200.0,3.5987620221084167,0.6961056252080329,-5024000.0,-77777000.0,,21.4
2278,BMI,252337.0,101001.0,2013.0,0.8523891966759003,29.294130072713976,-0.12431849008730819,-235.63775631558,721133600.0,3.6687148649542385,0.6079221420104496,-7535000.0,-77882000.0,,24.97
2279,BMI,252337.0,101001.0,2014.0,1.0320269847341517,26.714417750522273,0.21074620461966526,126.76108591722408,792830490.0,3.6990938781604155,0.5917342801554605,-14139000.0,-85095000.0,,27.57
2280,BMI,252337.0,101001.0,2015.0,0.8976950231882052,30.71198935924127,-0.1301632258971893,-235.94981722026034,796607580.0,3.4295881175330964,0.5304272952319449,-10485000.0,-93407000.0,,27.57
2281,BMI,252337.0,101001.0,2018.0,0.9520709856452774,50.39540194314501,0.06057286834893379,831.9797842961498,1400488220.0,4.614413103000629,0.29386200465893253,-8164000.0,-105480000.0,,47.98
