,Ticker,Adj. Close,Year
143229,BIG,25.23,2010
143731,BIG,23.58,2012
143983,BIG,26.75,2013
144235,BIG,33.54,2014
144487,BIG,32.85,2015
145241,BIG,26.39,2018
145493,BIG,27.35,2019
145855,CIEN,34.11,2007
146108,CIEN,6.7,2008
146360,CIEN,10.84,2009
146612,CIEN,21.05,2010
147114,CIEN,15.7,2012
147366,CIEN,23.93,2013
147618,CIEN,19.41,2014
147870,CIEN,20.69,2015
148624,CIEN,33.91,2018
148876,CIEN,42.69,2019
149037,VRA,33.0,2010
149539,VRA,25.1,2012
149791,VRA,24.04,2013
150043,VRA,20.38,2014
150295,VRA,15.76,2015
151049,VRA,8.57,2018
151301,VRA,11.8,2019
151424,NMBL,45.3,2013
151676,NMBL,27.5,2014
151928,NMBL,9.2,2015
152351,AMBA,11.15,2012
152603,AMBA,33.89,2013
152855,AMBA,50.72,2014
153107,AMBA,55.74,2015
153861,AMBA,34.98,2018
154113,AMBA,60.56,2019
154252,DLTH,14.59,2015
155006,DLTH,25.23,2018
155258,DLTH,10.53,2019
155620,ENZ,12.74,2007
155873,ENZ,4.89,2008
156125,ENZ,5.38,2009
156377,ENZ,5.28,2010
156879,ENZ,2.7,2012
157131,ENZ,2.92,2013
157383,ENZ,4.44,2014
157635,ENZ,4.5,2015
158389,ENZ,2.78,2018
158641,ENZ,2.63,2019
158882,MIK,24.73,2014
159134,MIK,22.11,2015
159888,MIK,13.54,2018
160140,MIK,8.09,2019
160502,DCI,19.1,2007
160755,DCI,14.0,2008
161007,DCI,17.94,2009
161259,DCI,24.84,2010
161761,DCI,28.57,2012
162013,DCI,38.3,2013
162265,DCI,34.59,2014
162517,DCI,26.17,2015
163271,DCI,41.7,2018
163523,DCI,56.29,2019
163796,EXPR,18.8,2010
164298,EXPR,15.09,2012
164550,EXPR,18.67,2013
164802,EXPR,14.69,2014
165054,EXPR,17.28,2015
165808,EXPR,5.11,2018
166060,EXPR,4.87,2019
166347,SPLK,29.02,2012
166599,SPLK,68.67,2013
166851,SPLK,58.95,2014
167103,SPLK,58.81,2015
167857,SPLK,104.85,2018
168109,SPLK,149.77,2019
168471,KMG,13.57,2007
168724,KMG,4.7,2008
168976,KMG,14.3,2009
169228,KMG,15.93,2010
169730,KMG,17.11,2012
169982,KMG,16.55,2013
170234,KMG,19.73,2014
170486,KMG,22.8,2015
171479,FRED,8.2,2007
171732,FRED,9.23,2008
171984,FRED,8.84,2009
172236,FRED,12.08,2010
172738,FRED,12.25,2012
172990,FRED,17.28,2013
173242,FRED,16.53,2014
173494,FRED,15.77,2015
174248,FRED,1.89,2018
174500,FRED,0.01,2019
174862,GCO,34.12,2007
175115,GCO,16.92,2008
175367,GCO,27.46,2009
175619,GCO,37.49,2010
176121,GCO,55.0,2012
176373,GCO,73.06,2013
176625,GCO,76.62,2014
176877,GCO,56.83,2015
177631,GCO,44.3,2018
177883,GCO,47.92,2019
178245,CPST,326.0,2007
178498,CPST,168.0,2008
178750,CPST,256.0,2009
179002,CPST,191.96,2010
179504,CPST,178.0,2012
179756,CPST,258.0,2013
180008,CPST,147.86,2014
180260,CPST,14.0,2015
181014,CPST,5.99,2018
181266,CPST,3.06,2019
181628,UNFI,31.72,2007
181881,UNFI,17.82,2008
182133,UNFI,26.74,2009
182385,UNFI,36.68,2010
182887,UNFI,53.59,2012
183139,UNFI,75.39,2013
183391,UNFI,77.33,2014
183643,UNFI,39.36,2015
184397,UNFI,10.59,2018
184649,UNFI,8.76,2019
185011,CMD,6.28,2007
185264,CMD,6.31,2008
185516,CMD,8.69,2009
185768,CMD,10.13,2010
186270,CMD,19.51,2012
186522,CMD,33.43,2013
186774,CMD,42.76,2014
187026,CMD,61.54,2015
187780,CMD,74.14,2018
188032,CMD,70.78,2019
188250,HQY,25.45,2014
188502,HQY,25.07,2015
189256,HQY,59.65,2018
189508,HQY,74.07,2019
189870,PURE,55.92,2007
190123,PURE,24.64,2008
190375,PURE,11.6,2009
190627,PURE,17.76,2010
191129,PURE,0.62,2012
191381,PURE,1.15,2013
191633,PURE,0.54,2014
191885,PURE,0.96,2015
192639,PURE,0.38,2018
192891,PURE,0.29,2019
193223,ONVO,52.0,2012
193475,ONVO,221.4,2013
193727,ONVO,145.0,2014
193979,ONVO,49.8,2015
194733,ONVO,19.14,2018
194985,ONVO,7.2,2019
195347,SPPI,2.68,2007
195600,SPPI,1.47,2008
195852,SPPI,4.38,2009
196104,SPPI,6.78,2010
196606,SPPI,11.19,2012
196858,SPPI,8.85,2013
197110,SPPI,6.93,2014
197362,SPPI,6.03,2015
198116,SPPI,8.75,2018
198368,SPPI,3.64,2019
198730,SYUT,30.2,2007
198983,SYUT,11.02,2008
199235,SYUT,13.51,2009
199487,SYUT,13.45,2010
199989,SYUT,4.63,2012
200241,SYUT,8.88,2013
200493,SYUT,6.08,2014
200745,SYUT,4.71,2015
201197,RAX,5.38,2008
201449,RAX,20.85,2009
201701,RAX,31.43,2010
202203,RAX,74.27,2012
202455,RAX,39.13,2013
202707,RAX,46.81,2014
203427,VIRC,6.52,2007
203680,VIRC,1.76,2008
203932,VIRC,3.42,2009
204184,VIRC,2.56,2010
204686,VIRC,2.55,2012
204938,VIRC,2.26,2013
205190,VIRC,2.4,2014
205442,VIRC,3.28,2015
206196,VIRC,4.0,2018
206448,VIRC,4.24,2019
206839,MFRM,24.53,2012
207091,MFRM,43.04,2013
207343,MFRM,58.08,2014
207848,SAIC,28.4,2013
208100,SAIC,43.75,2014
208352,SAIC,41.42,2015
209106,SAIC,60.89,2018
209358,SAIC,84.72,2019
209708,ADT,5.3,2018
209960,ADT,7.73,2019
210322,MGCD,8.31,2007
210575,MGCD,2.77,2008
210827,MGCD,3.59,2009
211079,MGCD,4.57,2010
211581,MGCD,5.18,2012
211833,MGCD,11.8,2013
212085,MGCD,5.97,2014
212337,MGCD,6.15,2015
213096,EEI,7.09,2007
213349,EEI,7.95,2008
213601,EEI,10.23,2009
213853,EEI,10.58,2010
214355,EEI,8.42,2012
214607,EEI,8.72,2013
214859,EEI,7.55,2014
